6	MISS	there	Mention 6 - there,  - ;; (I)
188	AMBG	the cattle home	['Mention 3132 - home, ;SS - ;; ()', 'Mention 3131 - the cattle, ;AN - cows;; ()']	Mention 3132 - home, ;SS - ;; ()
204	MISS	the lake	Mention 204 - the lake,  - ;; (I)
206	MISS	six cows	Mention 206 - six cows,  - ;; (I)
1325	MISS	six	Mention 1325 - six,  - ;; (I)
246	MISS	Lo	Mention 246 - Lo,  - ;; (I)
287	AMBG	the hare a duck	['Mention 3253 - the hare, ;AN - ;; ()', 'Mention 3254 - a duck, ;AN - duck;; ()']	Mention 3252 - a hare, ;AN - ;; ()
289	AMBG	the duck an egg	['Mention 3255 - the duck, ;AN - duck;; ()', 'Mention 3256 - an egg, ;OB - ;; ()']	Mention 3252 - a hare, ;AN - ;; ()
291	AMBG	the egg a seed	['Mention 3257 - the egg, ;OB - ;; ()', 'Mention 3258 - a seed, ;OB - ;; ()']	Mention 3252 - a hare, ;AN - ;; ()
309	MISS	once	Mention 309 - once,  - ;; (I)
